iteration,positions,avg_loss,gauntlet_win_rate,ema_win_rate
1,4886,0.10546911,0.500000,0.500000
2,5104,0.08727316,0.000000,0.000000
3,4524,0.08086638,0.000000,0.000000
4,4732,0.07106535,0.000000,0.000000
5,5098,0.06905978,0.000000,0.000000
6,5106,0.06484957,0.500000,0.064725
7,4688,0.07477717,0.000000,0.056346
8,5402,0.05881979,0.000000,0.049052
9,4742,0.07039578,0.000000,0.042702
10,5842,0.05702438,0.000000,0.037175
11,5544,0.06035235,0.000000,0.032362
12,4830,0.07010722,0.000000,0.028173
13,4926,0.07418769,0.000000,0.024526
14,4946,0.06369543,0.000000,0.021351
15,5218,0.06296084,0.000000,0.018587
16,4948,0.06014335,0.000000,0.016181
17,4954,0.06762214,0.000000,0.014087
18,4818,0.05516997,0.000000,0.012263
19,5220,0.05572377,0.000000,0.010676
20,5002,0.06702079,0.000000,0.009294
21,5120,0.06392851,0.500000,0.072815
22,5098,0.05757803,0.000000,0.063389
23,4994,0.06229956,0.500000,0.119908
24,4866,0.06711384,0.000000,0.104386
25,5028,0.06569699,0.000000,0.090874
26,5126,0.05882685,0.000000,0.079110
27,4434,0.07602747,0.000000,0.068869
28,4956,0.06273478,0.000000,0.059954
29,5248,0.06376825,0.500000,0.116918
30,4954,0.06418550,0.000000,0.101783
31,5120,0.07769760,0.500000,0.153332
32,4726,0.06453905,0.000000,0.133483
33,4996,0.06835885,0.000000,0.116204
34,4830,0.06871686,0.000000,0.101161
35,5126,0.05854912,0.000000,0.088066
36,5108,0.06983425,0.000000,0.076666
37,5036,0.06243110,0.000000,0.066742
38,4626,0.06537451,0.500000,0.122827
39,4938,0.05529517,0.000000,0.106927
40,4782,0.06296268,0.500000,0.157810
41,4838,0.06937179,0.000000,0.137382
42,5034,0.06540529,0.000000,0.119598
43,4994,0.05957717,0.000000,0.104116
44,4358,0.07567057,0.000000,0.090638
45,4744,0.06674033,0.500000,0.143630
46,4900,0.05384018,0.000000,0.125037
47,4860,0.06159578,0.000000,0.108851
48,4786,0.05987032,0.000000,0.094760
49,4914,0.05615964,0.000000,0.082494
50,4360,0.06850953,0.500000,0.136540
51,4898,0.06278758,0.000000,0.118865
52,4782,0.06783956,0.500000,0.168202
53,5300,0.05868593,0.500000,0.211153
54,4750,0.06824461,0.000000,0.183820
55,4560,0.06415099,0.000000,0.160024
56,4990,0.06182537,0.000000,0.139309
57,4916,0.05254250,0.000000,0.121276
58,5228,0.05536903,0.000000,0.105577
59,5158,0.05794307,0.000000,0.091910
60,4732,0.05449228,0.000000,0.080012
61,5074,0.05111253,0.000000,0.069655
62,4732,0.05913633,0.000000,0.060638
63,5230,0.05529389,0.000000,0.052788
64,4904,0.06014786,0.000000,0.045955
65,4982,0.05071545,0.000000,0.040006
66,4668,0.05497399,0.000000,0.034827
67,4742,0.06687159,0.000000,0.030319
68,5094,0.05366321,0.000000,0.026394
69,4982,0.06850129,0.000000,0.022977
70,5084,0.05573863,0.000000,0.020003
71,5336,0.05784264,0.000000,0.017414
72,5676,0.05454765,0.000000,0.015159
73,4796,0.05955569,0.000000,0.013197
74,5038,0.05345733,0.000000,0.011489
75,4776,0.05962629,0.000000,0.000000
76,4550,0.06393340,0.000000,0.000000
77,4886,0.05895519,0.000000,0.000000
78,4676,0.05933671,0.500000,0.064725
79,4764,0.06375614,0.000000,0.056346
80,4894,0.06428277,0.500000,0.113777
81,4972,0.05536046,0.000000,0.099049
82,5216,0.05794928,0.500000,0.150951
83,4626,0.07032194,0.000000,0.131411
84,4966,0.07000695,0.000000,0.114400
85,4362,0.06549024,0.000000,0.099591
86,5082,0.05462796,0.000000,0.086699
87,4902,0.05867190,0.000000,0.075476
88,4890,0.04916556,1.000000,0.195155
89,5154,0.04916236,0.000000,0.169892
90,4578,0.06805316,0.000000,0.147900
91,5058,0.05107270,0.000000,0.128754
92,4860,0.06647179,0.500000,0.176812
93,5056,0.05161196,0.000000,0.153924
94,4904,0.05251766,0.000000,0.133998
95,4936,0.06357370,0.000000,0.116652
96,4848,0.05302702,0.000000,0.101552
97,4796,0.05224200,0.000000,0.088406
98,4636,0.05221933,0.000000,0.076962
99,4878,0.08116836,0.000000,0.066999
100,4768,0.07082993,0.000000,0.058326
101,4852,0.06392700,0.000000,0.050776
102,4766,0.07029438,0.000000,0.044203
103,4968,0.05553876,0.000000,0.038481
104,4508,0.06716959,0.000000,0.033500
105,4424,0.07295188,0.000000,0.029163
106,4700,0.06753223,0.500000,0.090113
107,156826,0.05107005,0.000000,0.000000
108,159162,0.03928157,0.000000,0.000000
109,161618,0.03328222,0.000000,0.000000
110,163876,0.02920190,0.500000,0.064725
111,166204,0.02638716,0.000000,0.056346
112,171360,0.02429682,0.500000,0.500000
113,171490,0.02290504,,0.500000
114,173692,0.02170510,0.500000,0.500000
115,176058,0.02125458,,0.500000
116,178270,0.02043656,0.000000,0.435275
117,180594,0.02023478,,0.435275
118,183366,0.01947859,0.000000,0.378929
119,186208,0.01889655,,0.378929
120,188904,0.01865366,0.000000,0.329877
121,191770,0.01839581,,0.329877
122,194252,0.01833440,0.000000,0.287175
123,194252,0.01224480,,
124,194252,0.01112240,0.500000,0.500000
125,194252,0.01073973,,0.500000
126,194252,0.01077455,0.000000,0.435275
127,194252,0.01127938,,0.435275
128,194252,0.01123471,0.000000,0.378929
129,194252,0.01138191,,0.378929
130,194252,0.01094646,0.000000,0.329877
131,194252,0.01065437,,0.329877
132,194252,0.00995454,0.000000,0.000000
133,194252,0.00965798,0.000000,0.000000
134,194252,0.00949852,0.500000,0.500000
135,194252,0.00932497,1.000000,0.564725
136,194252,0.00909406,0.500000,0.556346
137,194252,0.00892839,0.500000,0.549052
138,194252,0.00974699,0.500000,0.542702
139,194252,0.00858999,0.500000,0.537175
140,194252,0.00873882,0.000000,0.467638
141,194252,0.00839694,1.000000,0.536552
142,194252,0.00818261,1.000000,0.596545
143,194252,0.00803133,0.500000,0.584047
144,194252,0.00746057,0.500000,0.573167
145,194252,0.00797567,0.500000,0.563696
146,194252,0.00752035,0.500000,0.555450
147,194252,0.00746326,0.000000,0.483548
148,194252,0.00799524,1.000000,0.550402
149,194252,0.00713763,0.000000,0.479153
150,194252,0.00747586,0.500000,0.481852
151,194252,0.00772107,0.000000,0.419476
152,194252,0.00701438,1.000000,0.494625
153,194252,0.00685221,1.000000,0.560045
154,194252,0.00815774,0.500000,0.552272
155,194252,0.00677953,0.500000,0.545506
156,194252,0.00665054,1.000000,0.604340
157,194252,0.00743524,1.000000,0.655558
158,194252,0.00666068,1.000000,0.700146
159,194252,0.00642202,0.500000,0.674237
160,194252,0.00723365,0.500000,0.651682
161,194252,0.00661594,1.000000,0.696772
162,194252,0.00712372,0.000000,0.606575
163,194252,0.00628818,0.500000,0.592779
164,194252,0.00615783,1.000000,0.645493
165,194252,0.00707317,0.500000,0.626659
166,194252,0.00657001,1.000000,0.674988
167,194252,0.00603458,1.000000,0.717061
168,194252,0.00643012,0.500000,0.688962
169,194252,0.00633484,1.000000,0.729226
170,194252,0.00582401,0.000000,0.634828
171,194252,0.00670209,0.500000,0.617375
172,194252,0.00647628,1.000000,0.666905
