iteration,positions,avg_loss,gauntlet_win_rate,ema_win_rate
1,1678,0.29383112,,
2,2992,0.26120446,,
3,4356,0.23667707,,
4,8048,0.14824332,0.000000,0.000000
5,12682,0.10486758,,0.000000
6,17514,0.08809770,,0.000000
7,21564,0.07506542,,0.000000
8,25348,0.06556260,0.000000,0.000000
9,30222,0.06674435,,0.000000
10,35126,0.05998754,,0.000000
11,38118,0.05401718,,0.000000
12,42728,0.04897593,0.000000,0.000000
13,47364,0.04652467,,0.000000
14,48030,0.04423583,,0.000000
15,48836,0.04239691,,0.000000
16,48002,0.03959640,0.000000,0.000000
17,48122,0.03777239,,0.000000
18,48074,0.03524063,,0.000000
19,49062,0.03325077,,0.000000
20,49922,0.03495993,0.000000,0.000000
21,50516,0.03540251,,0.000000
22,49294,0.03332974,,0.000000
23,48898,0.03382498,,0.000000
24,50696,0.03240162,0.031250,0.004045
25,50046,0.03126870,,0.004045
26,50668,0.03028041,,0.004045
27,51216,0.02843874,,0.004045
28,53530,0.02763171,0.000000,0.003522
29,54662,0.02719197,,0.003522
30,53484,0.02599478,,0.003522
31,52588,0.02495487,,0.003522
32,51976,0.02542741,0.000000,0.003066
33,51604,0.02445336,,0.003066
34,50968,0.02434170,,0.003066
35,52814,0.02368695,,0.003066
36,54214,0.02482157,0.000000,0.002669
37,54166,0.02340578,,0.002669
38,53110,0.02377923,,0.002669
39,51262,0.02320949,,0.002669
40,52070,0.02517251,0.000000,0.002323
41,53912,0.02564531,,0.002323
42,55534,0.02426982,,0.002323
43,55130,0.02298109,,0.002323
44,55922,0.02558067,0.000000,0.002023
45,54210,0.02488263,,0.002023
46,53048,0.02553587,,0.002023
47,55016,0.02383559,,0.002023
48,54722,0.02408068,0.000000,0.001761
49,53924,0.02376749,,0.001761
50,52428,0.02299468,,0.001761
51,50828,0.02292864,,0.001761
52,50734,0.02098808,0.000000,0.001533
53,50174,0.02242662,,0.001533
54,51022,0.02183028,,0.001533
55,51582,0.02165185,,0.001533
56,51164,0.02193793,0.000000,0.001334
57,49300,0.02167897,,0.001334
58,48756,0.02169374,,0.001334
59,48658,0.02056695,,0.001334
60,50770,0.01899997,0.000000,0.001162
61,50612,0.01890453,,0.001162
62,50750,0.01919792,,0.001162
63,53702,0.01995942,,0.001162
64,50174,0.02101863,0.000000,0.001011
65,48980,0.02191147,,0.001011
66,48772,0.02170283,,0.001011
67,48180,0.02228582,,0.001011
68,48598,0.02133781,0.000000,0.000880
69,48464,0.02095512,,0.000880
70,46994,0.02162471,,0.000880
71,47172,0.02233594,,0.000880
72,48094,0.02374956,0.000000,0.000766
73,45694,0.02395987,,0.000766
74,47160,0.02340880,,0.000766
75,47908,0.02281575,,0.000766
76,49588,0.02247928,0.000000,0.000667
77,50686,0.02304316,,0.000667
78,51544,0.02271359,,0.000667
79,51666,0.02198571,,0.000667
80,51796,0.02220448,0.031250,0.004626
81,52084,0.02060666,,0.004626
82,49556,0.02246487,,0.004626
83,50990,0.02110523,,0.004626
84,50400,0.02060291,0.031250,0.008073
85,49720,0.02037662,,0.008073
86,48618,0.02123146,,0.008073
87,48840,0.02109893,,0.008073
88,47204,0.02299256,0.031250,0.011073
89,46810,0.02263033,,0.011073
90,47966,0.02121281,,0.011073
91,49412,0.02124799,,0.011073
92,50510,0.02108756,0.000000,0.009640
93,49002,0.02143115,,0.009640
94,49524,0.02236051,,0.009640
95,49748,0.02089865,,0.009640
96,50658,0.02064128,0.000000,0.008392
97,49338,0.02018834,,0.008392
98,50586,0.02075940,,0.008392
99,51458,0.02023231,,0.008392
100,49600,0.02045247,0.000000,0.007305
101,49260,0.02238035,,0.007305
102,48400,0.02103092,,0.007305
103,48328,0.02123681,,0.007305
104,47572,0.02052393,0.000000,0.006360
