active_hand_pair,count
elephant + crane,44508
crab + goose,44312
crab + rooster,44312
elephant + ox,43728
elephant + horse,43728
monkey + boar,43542
frog + rabbit,43256
frog + elephant,43245
elephant + rabbit,43245
monkey + horse,43235
monkey + ox,43235
goose + rabbit,43189
frog + rooster,43189
boar + goose,43070
rooster + boar,43070
rooster + crane,42938
crane + goose,42938
crab + eel,42898
crab + cobra,42898
elephant + boar,42889
crab + elephant,42718
horse + goose,42691
rooster + ox,42691
rooster + horse,42479
ox + goose,42479
monkey + crane,42371
monkey + crab,42204
boar + rabbit,41829
frog + boar,41829
dragon + boar,41804
boar + eel,41779
boar + cobra,41779
rooster + goose,41575
mantis + boar,41402
dragon + ox,41386
dragon + horse,41386
crab + frog,41241
crab + rabbit,41241
eel + horse,41201
ox + cobra,41201
frog + ox,41151
horse + rabbit,41151
ox + eel,41137
horse + cobra,41137
dragon + goose,41093
dragon + rooster,41093
mantis + crane,40993
mantis + ox,40888
mantis + horse,40888
crab + mantis,40780
mantis + rooster,40714
mantis + goose,40714
cobra + goose,40591
rooster + eel,40591
eel + rabbit,40381
frog + cobra,40381
crane + cobra,40323
crane + eel,40323
monkey + goose,40315
monkey + rooster,40315
eel + cobra,40253
elephant + rooster,40248
elephant + goose,40248
elephant + eel,40244
elephant + cobra,40244
crab + boar,39955
dragon + crab,39859
dragon + eel,39790
dragon + cobra,39790
dragon + elephant,39463
crab + ox,39327
crab + horse,39327
dragon + crane,39250
dragon + rabbit,38655
dragon + frog,38655
monkey + eel,38261
monkey + cobra,38261
mantis + eel,38059
mantis + cobra,38059
ox + rabbit,38006
frog + horse,38006
boar + crane,37974
mantis + rabbit,37678
mantis + frog,37678
monkey + frog,37654
monkey + rabbit,37654
monkey + elephant,37653
monkey + dragon,37627
crab + crane,37457
crane + rabbit,36729
frog + crane,36729
dragon + mantis,36600
mantis + elephant,35693
ox + horse,35243
ox + crane,34621
crane + horse,34621
boar + horse,34597
boar + ox,34597
tiger + goose,33857
tiger + rooster,33857
tiger + boar,33581
frog + goose,33554
rooster + rabbit,33554
tiger + cobra,32935
tiger + eel,32935
tiger + crane,32825
tiger + ox,32669
tiger + horse,32669
tiger + monkey,32407
rooster + cobra,32327
eel + goose,32327
tiger + elephant,32020
tiger + crab,31830
cobra + rabbit,31796
frog + eel,31796
tiger + mantis,31748
tiger + rabbit,31716
tiger + frog,31716
tiger + dragon,31655
monkey + mantis,30706
